brand,name,slug,category,price,stock,image_url,source
"Tubbees","Tubbees Cherry Luxe",tubbees-tubbees-cherry-luxe-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Cherry_Luxe.png?v=1744396605",disfragancias
"Tubbees","Tubbees Candy Pop",tubbees-tubbees-candy-pop-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Candy_Pop.png?v=1744396242",disfragancias
"Tubbees","Tubbees Bubble Gum",tubbees-tubbees-berry-blast-50-ml-edp-copia,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Bubble_Gum.png?v=1744395949",disfragancias
"Tubbees","Tubbees Berry Blast",tubbees-tubbees-beary-love-50-ml-edp-copia,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Berry_Blast.png?v=1744395599",disfragancias
"Tubbees","Tubbees Beary Love",tubbees-tubbees-beary-love-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Beary_Love.png?v=1744394962",disfragancias
"Rayhaan","Rayhaan Crimson",rayhaan-rayhaan-crimson,decants,25650,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Rayhaan_Crimson.png?v=1744032421",disfragancias
"Bharara","Bharara King Soleil",bharara-bharara-king-soleil,decants,28500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/bharara_king_soleil.png?v=1744032057",disfragancias
"Al wataniah","Al Wataniah Marjaan",al-wataniah-al-wataniah-marjaan,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/AlWataniahMarjaan.png?v=1744031565",disfragancias
"Unique Luxury","Uniquee Luxury Zen'gi",unique-luxury-uniquee-luxury-zengi,decants,36100,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/UniqueeLuxuryZen_gi.png?v=1744031061",disfragancias
"Unique Luxury","Uniquee Luxury Mashumaro マシュマロ",unique-luxury-uniquee-luxury-mashumaro-masiyumaro,decants,33250,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Uniquee_Luxury_Mashumaro.png?v=1744030193",disfragancias
