brand,product_name,ml,gender,price_cop,source_raw
"guess","guess estuchelocion+locion cuerpo+locion de bolso+cosmetiquetaf",,unisex,320000,"GGUESS - GUESS ESTUCHELocion+locion cuerpo+Locion de bolso+CosmetiquetaF $ 320.000"
"guess","guess",75,female,200000,"GGUESS 75ML F $ 200.000"
"guess","dare",100,female,220000,"GGUESS - DARE100ML - 3.4 OZF $ 220.000"
"guess","by marciano estuchelocion+ spray cuerpo+crema de manosf",,unisex,280000,"GUESS - BY MARCIANO ESTUCHELocion+ Spray cuerpo+Crema de manosF $ 280.000"
"guess","girl belle estuchelocion+crema cuerpo+locion de bolsof",,unisex,280000,"GGUESS - GIRL BELLE ESTUCHELocion+Crema cuerpo+Locion de bolsoF $ 280.000"
"guess","seductive estuchelocion+crema cuerpo+locion de bolsof",,unisex,280000,"GGUESS - SEDUCTIVE ESTUCHELocion+Crema cuerpo+Locion de bolsoF $ 280.000"
"hugo-boss","just diferent",100,male,300000,"HHUGO BOSS - JUST DIFERENT100ML - 3.4 OZM $ 300.000"
"0-hhugo-boss","unlimited",100,male,330000,"0"
"HHUGO BOSS - UNLIMITED 100ML - 3.4 OZM $ 330.000","",,,,""
"0-hhugo-boss","unlimited",200,male,420000,"200ML - 3.4 OZM $ 420.000"
"hugo-boss","bottled night",100,male,290000,"HHUGO BOSS - BOTTLED NIGHT100ML - 3.4 OZM $ 290.000"
"hugo-boss","bottled",100,male,340000,"HHUGO BOSS - BOTTLED 100ML - 3.4 OZM $ 340.000"
"hugo-boss","bottled beyond",100,male,440000,"HHUGO BOSS - BOTTLED  BEYOND100ML - 3.4 OZM $ 440.000"
"hugo-boss","the scent",100,male,430000,"HHUGO BOSS - THE SCENT100ML - 3.4 OZM $ 430.000"
"hugo-boss","in motion",100,male,250000,"HHUGO BOSS - IN MOTION100ML - 3.4 OZM $ 250.000"
"hugo-boss","femme",75,female,260000,"HHUGO BOSS - FEMME75ML F $ 260.000"
"hugo-boss","x boss x",100,female,270000,"HHUGO BOSS - X BOSS X100ML - 3.3 OZF $ 270.000"
"hugo-boss","woman",,unisex,240000,"HUGO BOSS - WOMAN90 MLF $ 240.000"
"hugo-boss","mavie f",,unisex,270000,"HHUGO BOSS - MAVIE 75 MLF $ 270.000"
"hugo-boss","woman",,unisex,230000,"HHUGO BOSS - WOMAN75 MLF $ 230.000"
"hinode","inebrante",100,male,280000,"HHINODE - INEBRANTE100ML - 3.4 OZM $ 280.000"
"isseay-miyake","ieau dissey puor homme",125,male,300000,"IISSEAY MIYAKE -  IEAU DISSEY PUOR HOMME 125MLM $ 300.000"
"isseay-miyake","ieau dissey puor homme",200,male,390000,"IISSEAY MIYAKE -  IEAU DISSEY PUOR HOMME 200MLM $ 390.000"
"isseay-miyake","ieau dissey puor femme",100,female,330000,"IISSEAY MIYAKE -  IEAU DISSEY PUOR FEMME100ML - 3.4 OZF $ 330.000"
"ilmin","mexico",30,male,550000,"IILMIN - MEXICO30ML - 1.0 OZM $ 550.000"
"ilmin","il voss",30,male,550000,"IILMIN - IL VOSS30ML - 1.0 OZM $ 550.000"
"ilmin","il roso",30,female,550000,"IILMIN - IL ROSO30ML - 1.0 OZF $ 550.000"
"ilmin","il arte",30,female,550000,"IILMIN - IL ARTE30ML - 1.0 OZF $ 550.000"
"jean-paul-gaultier","le beau",100,male,540000,"JJEAN PAUL GAULTIER -  LE BEAU100ML - 3.4 OZM $ 540.000"
"jean-paul-gaultier","le male",100,male,440000,"JEAN PAUL GAULTIER -  LE MALE100ML - 3.4 OZM $ 440.000"
"jean-paul-gaultier","clasique",100,female,400000,"JJEAN PAUL GAULTIER -  CLASIQUE100ML - 3.4 OZF $ 400.000"
"jean-paul-gaultier","paradise garden",125,male,550000,"JJEAN PAUL GAULTIER -  PARADISE GARDEN125MLM $ 550.000"
"jean-paul-gaultier","elixir",100,male,580000,"JJEAN PAUL GAULTIER -  ELIXIR100ML - 3.4 OZM $ 580.000"
"jean-paul-gaultier","elixir",100,male,620000,"JJEAN PAUL GAULTIER -  ELIXIR100ML - 3.4 OZM $ 620.000"
"jean-paul-gaultier","scandal clasica edt",100,male,460000,"JJEAN PAUL GAULTIER -  SCANDAL CLASICA EDT100ML - 3.4 OZM $ 460.000"
"jean-paul-gaultier","scandal intense",100,male,550000,"JJEAN PAUL GAULTIER -  SCANDAL INTENSE100ML - 3.4 OZM $ 550.000"
"jean-paul-gaultier","scandal absolu",100,male,595000,"JJEAN PAUL GAULTIER -  SCANDAL ABSOLU100ML - 3.4 OZM $ 595.000"
"jean","paul gaultier -scandal",100,female,460000,"JJEAN PAUL GAULTIER -SCANDAL100ML - 3.4 OZF $ 460.000"
"juicy-couture","viva la juicy",100,female,320000,"JJUICY COUTURE - VIVA LA JUICY 100ML - 3.4 OZF $ 320.000"
"juicy-couture","viva la juicy gold",100,female,280000,"JJUICY COUTURE - VIVA LA JUICY GOLD100ML - 3.4 OZF $ 280.000"
"juicy-couture","viva la juicy rose",100,female,320000,"JJUICY COUTURE - VIVA LA JUICY ROSE100ML - 3.4 OZF $ 320.000"
"juicy-couture","viva la juicy noir",100,female,340000,"JJUICY COUTURE - VIVA LA JUICY NOIR100ML - 3.4 OZF $ 340.000"
"juicy-couture","viva la juicy neon",100,female,340000,"JUICY COUTURE - VIVA LA JUICY NEON100ML - 3.4 OZF $ 340.000"
"juicy-couture","viva la juicy petals please",100,female,400000,"JJUICY COUTURE - VIVA LA JUICY PETALS PLEASE100ML - 3.4 OZF $ 400.000"
"jo-milano-paris","game of spade royale",100,male,420000,"JJO MILANO PARIS - GAME OF SPADE ROYALE100ML - 3.4 OZM $ 420.000"
"jo-milano-paris","game of spade royale",100,male,490000,"JJO MILANO PARIS - GAME OF SPADE ROYALE100ML - 3.4 OZM $ 490.000"
"jo-milano-paris","game of spade wildcard",100,male,440000,"JJO MILANO PARIS - GAME OF SPADE WILDCARD100ML - 3.4 OZM $ 440.000"
"jo-milano-paris","game of spade wildcard",100,male,490000,"JJO MILANO PARIS - GAME OF SPADE WILDCARD100ML - 3.4 OZM $ 490.000"
